"Member Publication Name","Matched Publication Name","Parent Org","Homepage URL","Match Confidence","Match Method","Notes","Opinion Section URL","RSS Opinion feed Y/N","RSS feed URL","Non-RSS Opinion Page Y/N","Monitoring Method"
"Chowchilla News","Chowchilla News","McClatchy Papers","http://www.mercedsunstar.com/news/local/community/chowchilla","High","exact_contact","","","","","",""
"Citrus College - Clarion","Citrus College - Clarion","","http://www.ccclarion.com/","High","exact_contact","","","","","",""
"City College of San Francisco - The Guardsman","City College of San Francisco - The Guardsman","","http://theguardsman.com","High","exact_contact","","","","","",""
"Claremont Colleges - The Student Life","Claremont Colleges - The Student Life","","https://tsl.news","High","exact_contact","","","","","",""
"Claremont Courier","Claremont Courier","","https://www.claremont-courier.com","High","exact_contact","","","","","",""
"Clovis Roundup","Clovis Roundup","","http://www.clovisroundup.com","High","exact_contact","","","","","",""
"Coachella Valley Independent LLC","Coachella Valley Independent LLC","","https://cvindependent.com/","High","exact_contact","","","","","",""
"Colusa County Sun-Herald","Colusa County Sun-Herald","Glen County Transcript","http://www.appeal-democrat.com/colusa_sun_herald","High","exact_contact","","","","","",""
"Comstock's Magazine","Comstock's Magazine","","https://comstocksmag.com","High","exact_contact","","","","","",""
"Corning Observer","Corning Observer","Appeal-Democrat (A-D)","https://www.appeal-democrat.com/corning_observer","High","exact_contact","","","","","",""
"Costal Real Estate Guide","Costal Real Estate Guide","MediaNews Group","https://www.coastalrealestateguide.com/","High","exact_contact","","","","","",""
"Cosumnes River College - Cosumnes Connection","Cosumnes River College - Cosumnes Connection","","https://www.thecrcconnection.com/","High","exact_contact","","","","","",""
"Courthouse News Service","Courthouse News Service","","https://www.courthousenews.com","High","exact_contact","","","","","",""
"Culture OC","Culture OC","","https://www.cultureoc.org/","High","exact_contact","","","","","",""
"Daily Pilot","Daily Pilot","Times Community News","https://www.latimes.com/socal/daily-pilot","High","exact_contact","","","","","",""
"Daily Press","Daily Press","Gannett Company Inc. (GCI)","http://www.vvdailypress.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"De Anza College - La Voz News","De Anza College - La Voz News","","https://lavozdeanza.com/","High","exact_contact","","","","","",""
"Del Mar Times","Del Mar Times","La Jolla Light","http://www.delmartimes.net","High","exact_contact","","","","","",""
"Delano Record","Delano Record","Tehachapi News","https://www.bakersfield.com/delano-record","High","exact_contact","","","","","",""
"Desert Dispatch","Desert Dispatch","Gannett Company Inc. (GCI)","http://www.desertdispatch.com/","High","exact_contact","","","","","",""
"Desert Post Weekly (AKA: Desert Sun)","Desert Post Weekly (AKA: Desert Sun)","Gannett Company Inc. (GCI)","","High","exact_contact","No homepage URL found in large sheet","","","","",""
"Discovery Bay Press","Discovery Bay Press","Brentwood Press","http://www.discoverybaypress.com","High","exact_contact","","","","","",""
"Dunsmuir News","Dunsmuir News","Gannett Company Inc. (GCI)","http://www.mtshastanews.com","High","exact_contact","","","","","",""
"Eastside College Preparatory School - The Eastside Panther","Eastside College Preparatory School - The Eastside Panther","","https://eastsidepanther.org/","High","exact_contact","","","","","",""
"EdSource","EdSource","","https://edsource.org","High","exact_contact","","","","","",""
"El Camino College - The Union","El Camino College - The Union","","https://eccunion.com/","High","exact_contact","","","","","",""
"El Estoque","El Estoque","","https://elestoque.org/","High","exact_contact","","","","","",""
"EL POPULAR","EL POPULAR","Latino Media Collaborative","https://elpopularnews.com/","High","exact_contact","","","","","",""
"El Sol de Salinas","El Sol de Salinas","Gannett Company Inc. (GCI)","http://www.elsoldesalinas.com","High","exact_contact","","","","","",""
"El Tecolote","El Tecolote","","https://eltecolote.org/content/en/","High","exact_contact","","","","","",""
"Encinitas Advocate","Encinitas Advocate","La Jolla Light","https://www.encinitasadvocate.com","High","exact_contact","","","","","",""
"Firebaugh-Mendota Journal","Firebaugh-Mendota Journal","Mineral King Publishing, Inc. (MKPI)","http://www.kerwestnewspapers.com","High","exact_contact","","","","","",""
"Fort Bragg Advocate-News","Fort Bragg Advocate-News","MediaNews Group","http://www.advocate-news.com","High","exact_contact","","","","","",""
"Fresnoland","Fresnoland","","https://fresnoland.org/","High","exact_contact","","","","","",""
"Gannett Company Inc. (GCI)","Gannett Company Inc. (GCI)","","http://www.gannett.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Glen County Transcript","Glen County Transcript","Appeal-Democrat (A-D)","http://www.appeal-democrat.com/glenn_county_transcript","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Glendale College - El Vaquero","Glendale College - El Vaquero","","https://elvaq.com/","High","exact_contact","","","","","",""
"Glendale Independent","Glendale Independent","Beacon Media, Inc. (BMI-VR)","http://www.glendaleindependent.com","High","exact_contact","","","","","",""
"Glendale News-Press","Glendale News-Press","La Canada Flintridge Outlook","https://glendalenewspress.outlooknewspapers.com/","High","exact_contact","","","","","",""
"Gold Mountian Media","Gold Mountian Media","Gold Mountain California News Media Inc. (GMCNMI)","https://www.goldmountain-media.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"GV Wire","GV Wire","","https://gvwire.com","High","exact_contact","","","","","",""
"Half Moon Bay Review","Half Moon Bay Review","Coastside News Group, Inc. (CNGI)","http://www.hmbreview.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"HeySoCal","HeySoCal","Beacon Media, Inc. (BMI-VR)","","High","exact_contact","No homepage URL found in large sheet","","","","",""
"Hi-Desert Star","Hi-Desert Star","Gold Mountain California News Media Inc. (GMCNMI)","http://www.hidesertstar.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Hilmar Times","Hilmar Times","Atwater-Winton Times","http://hilmartimes.weebly.com","High","exact_contact","","","","","",""
"Holtville Tribune","Holtville Tribune","","http://www.holtvilletribune.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Hughson Chronicle & Denair Dispatch","Hughson Chronicle & Denair Dispatch","Atwater-Winton Times","http://hughsonchronicle-denairdispatch.weebly.com","High","exact_contact","","","","","",""
"Imperial Valley Press","Imperial Valley Press","","http://www.ivpressonline.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"IMPULSO","IMPULSO","","http://impulsonews.info","High","exact_contact","","","","","",""
"Independent Coast Observer","Independent Coast Observer","","http://www.mendonoma.com","High","exact_contact","","","","","",""
"India Currents","India Currents","","https://indiacurrents.com","High","exact_contact","","","","","",""
"Indian Voices","Indian Voices","California Black Media","http://www.indianvoices.net/","High","exact_contact","","","","","",""
"J. The Jewish News of Northern California","J. The Jewish News of Northern California","","https://jweekly.com/","High","exact_contact","","","","","",""
"KFF Health News","KFF Health News","","http://khn.org","High","exact_contact","","","","","",""
"L.A. Watts Times","L.A. Watts Times","Bakewell Media (BwM)","http://www.lawattstimes.com","High","exact_contact","","","","","",""
"La Canada Flintridge Outlook","La Canada Flintridge Outlook","Outlook Newspapers Group (ONG)","https://outlooknewspapers.com/lacanadaoutlook/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"La Cañada Outlook Valley Sun","La Cañada Outlook Valley Sun","Outlook Newspapers Group (ONG)","https://outlooknewspapers.com/","High","exact_contact","","","","","",""
"La Canada Valley Sun","La Canada Valley Sun","La Canada Flintridge Outlook","https://outlooknewspapers.com/lacanadaoutlook/","High","exact_contact","","","","","",""
"La Jolla Light","La Jolla Light","Southern California News Group (SCNG)","https://www.lajollalight.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"La Nueva Voz","La Nueva Voz","Latino Media Collaborative","https://lanuevavoz.net/","High","exact_contact","","","","","",""
"La Opinión","La Opinión","Impremedia","https://laopinion.com/","High","exact_contact","","","","","",""
"La Prensa Sonoma","La Prensa Sonoma","MediaNews Group","https://www.laprensasonoma.com/","High","exact_contact","","","","","",""
"Laguna Beach Independent","Laguna Beach Independent","TIMES MEDIA GROUP (TMG)","https://www.lagunabeachindy.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"lajolla.ca","lajolla.ca","","https://lajolla.ca/","High","exact_contact","","","","","",""
"Lake County Record-Bee","Lake County Record-Bee","MediaNews Group","http://www.record-bee.com","High","exact_contact","","","","","",""
"Lamorinda Weekly","Lamorinda Weekly","Moraga Chamber of Commerce (MCC)","http://www.lamorindaweekly.com","High","exact_contact","","","","","",""
"Larchmont Chronicle","Larchmont Chronicle","","https://larchmontchronicle.com","High","exact_contact","","","","","",""
"Las Positas College - Express","Las Positas College - Express","","http://lpcexpressnews.com/","High","exact_contact","","","","","",""
"Lincoln News Messenger","Lincoln News Messenger","Gold Mountain California News Media Inc. (GMCNMI)","http://www.lincolnnewsmessenger.com","High","exact_contact","","","","","",""
"Livingston Chronicle","Livingston Chronicle","McClatchy Papers","http://www.mercedsunstar.com/news/local/community/livingston","High","exact_contact","","","","","",""
"Lodi News-Sentinel","Lodi News-Sentinel","Sound California News Media Inc. (SCNMI)","http://www.lodinews.com","High","exact_contact","","","","","",""
"Lookout Santa Cruz","Lookout Santa Cruz","","https://lookout.co/","High","exact_contact","","","","","",""
"Los Altos Town Crier","Los Altos Town Crier","","http://latc.com","High","exact_contact","","","","","",""
"Los Angeles Bulletin","Los Angeles Bulletin","Metropolitan News Company","http://www.mnc.net/bulletin.htm","High","exact_contact","","","","","",""
"Los Angeles City College - City News","Los Angeles City College - City News","","https://www.lacitycollege.edu/About-LACC/Campus-News/Latest-News","High","exact_contact","","","","","",""
"Los Angeles Daily Journal","Los Angeles Daily Journal","Daily Journal Corporation (DJC)","http://www.dailyjournal.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Los Angeles Harbor College - Harbor Tides","Los Angeles Harbor College - Harbor Tides","","https://harbortides.wordpress.com/","High","exact_contact","","","","","",""
"Los Angeles Pierce College - The Roundup","Los Angeles Pierce College - The Roundup","","http://theroundupnews.com/","High","exact_contact","","","","","",""
"Los Angeles Sentinel","Los Angeles Sentinel","Bakewell Media (BwM)","http://www.lasentinel.net","High","exact_contact","","","","","",""
"Los Angeles Times","Los Angeles Times","Los Angeles Times Communications LLC (LATCLLC)","https://www.latimes.com","High","exact_contact","","","","","",""
"Los Banos Enterprise","Los Banos Enterprise","McClatchy Papers","https://www.losbanosenterprise.com","High","exact_contact","","","","","",""
"Los Cerritos Community News","Los Cerritos Community News","","http://www.loscerritosnews.net","High","exact_contact","","","","","",""
"Los Medanos College - Experience","Los Medanos College - Experience","","https://lmcexperience.com/","High","exact_contact","","","","","",""
"Madera Tribune","Madera Tribune","","https://www.maderatribune.com/","High","exact_contact","","","","","",""
"Manteca/Ripon Bulletin","Manteca/Ripon Bulletin","209 Multimedia","https://www.mantecabulletin.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Mariposa Gazette","Mariposa Gazette","","http://www.mariposagazette.com","High","exact_contact","","","","","",""
"McClatchy Papers","McClatchy Papers","Chatham Asset Management (CAM)","https://www.mcclatchy.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"MediaNews Group","MediaNews Group","Alden Global Capital","https://www.medianewsgroup.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Merced County Times","Merced County Times","Atwater-Winton Times","http://www.mercedcountytimes.net","High","exact_contact","","","","","",""
"Merced Sun-Star","Merced Sun-Star","Chatham Asset Management (CAM)","https://www.mercedsunstar.com","High","exact_contact","","","","","",""
"Metropolitan News-Enterprise","Metropolitan News-Enterprise","Metropolitan News Company","http://www.metnews.com/metnews.htm","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Mid Valley Times","Mid Valley Times","Mineral King Publishing, Inc. (MKPI)","https://midvalleytimes.com/","High","exact_contact","","","","","",""
"Mission Local","Mission Local","","http://www.missionlocal.com/","High","exact_contact","","","","","",""
"Mojave Desert News","Mojave Desert News","","http://www.desertnews.com","High","exact_contact","","","","","",""
"Monterey County Weekly","Monterey County Weekly","","http://www.montereycountyweekly.com","High","exact_contact","","","","","",""
"Monterey Park Press","Monterey Park Press","Beacon Media, Inc. (BMI-VR)","http://www.montereyparkpress.com","High","exact_contact","","","","","",""
"Mount Shasta Herald","Mount Shasta Herald","Gannett Company Inc. (GCI)","http://www.mtshastanews.com","High","exact_contact","","","","","",""
"Mountain House Matters, Inc.","Mountain House Matters, Inc.","","https://www.mhmatters.net/","High","exact_contact","","","","","",""
"Mountain Messenger","Mountain Messenger","","https://www.themountainmessenger.org/","High","exact_contact","","","","","",""
"Mountain News","Mountain News","Big Bear Grizzly","http://www.mountain-news.com","High","exact_contact","","","","","",""
"Mountain View Voice","Mountain View Voice","Palo Alto Weekly","http://www.mv-voice.com","High","exact_contact","","","","","",""
"Mountain Views News","Mountain Views News","","http://mtnviewsnews.com","High","exact_contact","","","","","",""
"Mt. San Antonio College - SAC.Media","Mt. San Antonio College - SAC.Media","","https://medium.com/sac-media","High","exact_contact","","","","","",""
"Mule Creek Post","Mule Creek Post","Pollen Initiative","https://pollenpress.org/mule-creek-post/","High","exact_contact","","","","","",""
"Napa Valley Register","Napa Valley Register","Hoffmann Media Group","http://napavalleyregister.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Needles Desert Star","Needles Desert Star","River City Newspapers (AKA: Needles Desert Star)","http://www.thedesertstar.com","High","exact_contact","","","","","",""
"New Times","New Times","New Times Media Group (NTMG)","http://www.newtimesslo.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Newport Beach Independent","Newport Beach Independent","Laguna Beach Independent","https://www.newportbeachindy.com/","High","exact_contact","","","","","",""
"News for Chinese","News for Chinese","","http://www.newsforchinese.com/","High","exact_contact","","","","","",""
"North Bay Business Journal","North Bay Business Journal","MediaNews Group","https://www.northbaybusinessjournal.com","High","exact_contact","","","","","",""
"North Coast Journal","North Coast Journal","","http://www.northcoastjournal.com","High","exact_contact","","","","","",""
"North County News-Tribune (AKA: Fullerton News Tribune)","North County News-Tribune (AKA: Fullerton News Tribune)","MediaNews Group","https://www.ocregister.com/","High","exact_contact","","","","","",""
"North Valley News","North Valley News","Valley News Group (VNG)","","High","exact_contact","No homepage URL found in large sheet","","","","",""
"Oakdale Leader","Oakdale Leader","209 Multimedia","http://www.oakdaleleader.com","High","exact_contact","","","","","",""
"Oakley Press","Oakley Press","Brentwood Press","http://www.oakleypress.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Ontario News Press","Ontario News Press","Beacon Media, Inc. (BMI-VR)","http://ontarionewspress.com","High","exact_contact","","","","","",""
"Orange Coast College - Coast Report","Orange Coast College - Coast Report","","http://www.coastreportonline.com/","High","exact_contact","","","","","",""
"Oroville Mercury-Register","Oroville Mercury-Register","MediaNews Group","http://www.orovillemr.com","High","exact_contact","","","","","",""
"Outword","Outword","","http://www.outwordmagazine.com","High","exact_contact","","","","","",""
"Pacific Coast Business Times","Pacific Coast Business Times","","https://www.pacbiztimes.com/","High","exact_contact","","","","","",""
"Pacifica Tribune","Pacifica Tribune","Coastside News Group, Inc. (CNGI)","http://pacificatribune.ca.newsmemory.com","High","exact_contact","","","","","",""
"Palo Alto Weekly","Palo Alto Weekly","Embarcadero Media Foundation (EMF)","https://www.paloaltoonline.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Paradise Post","Paradise Post","MediaNews Group","http://www.paradisepost.com","High","exact_contact","","","","","",""
"Park Labrea News","Park Labrea News","Beverly Press and Park Labrea News (BP&PLN)","https://beverlypress.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Pasadena Media Foundation","Pasadena Media Foundation","","https://localnewspasadena.com/","High","exact_contact","","","","","",""
"Pasadena Outlook (AKA: Outlook Pasadena)","Pasadena Outlook (AKA: Outlook Pasadena)","La Canada Flintridge Outlook","http://outlooknewspapers.comcategory/pasadena","High","exact_contact","","","","","",""
"Pasadena Press","Pasadena Press","Beacon Media, Inc. (BMI-VR)","http://www.pasadenapress.com","High","exact_contact","","","","","",""
"Pasadena Weekly","Pasadena Weekly","TIMES MEDIA GROUP (TMG)","https://www.pasadenaweekly.com/","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Paso Robles Daily News","Paso Robles Daily News","Access Publishing","https://pasoroblesdailynews.com","High","exact_contact","","","","","",""
"Paso Robles Press","Paso Robles Press","13 Stars Media","https://pasoroblespress.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Petaluma Argus-Courier","Petaluma Argus-Courier","MediaNews Group","http://www.petaluma360.com","High","exact_contact","","","","","",""
"Placer Herald","Placer Herald","Gold Mountain California News Media Inc. (GMCNMI)","http://www.placerherald.com","High","exact_contact","","","","","",""
"Pleasant Hill-Martinez Record","Pleasant Hill-Martinez Record","MediaNews Group","http://www.contracostatimes.com","High","exact_contact","","","","","",""
"Pleasanton Weekly","Pleasanton Weekly","Embarcadero Media Foundation (EMF)","http://www.pleasantonweekly.com","High","exact_contact","","","","","",""
"Poway News Chieftain","Poway News Chieftain","La Jolla Light","https://www.sandiegouniontribune.com/pomerado-news/","High","exact_contact","","","","","",""
"Ramona Sentinel","Ramona Sentinel","La Jolla Light","https://www.sandiegouniontribune.com/ramona-sentinel","High","exact_contact","","","","","",""
"Rancho Bernardo News Journal","Rancho Bernardo News Journal","The San Diego Union-Tribune","https://www.sandiegouniontribune.com/pomerado-news/","High","exact_contact","","","","","",""
"Rancho Santa Fe Review","Rancho Santa Fe Review","La Jolla Light","https://www.sandiegouniontribune.com/rancho-santa-fe-review/","High","exact_contact","","","","","",""
"Record Searchlight","Record Searchlight","","http://www.redding.com","High","exact_contact","","","","","",""
"Red Bluff Daily News","Red Bluff Daily News","MediaNews Group","http://www.redbluffdailynews.com","High","exact_contact","","","","","",""
"Redding Record Searchlight","Redding Record Searchlight","Gannett Company Inc. (GCI)","http://www.redding.com/","High","exact_contact","","","","","",""
"Rio Hondo College - El Paisano","Rio Hondo College - El Paisano","","https://elpaisanoonline.com/","High","exact_contact","","","","","",""
"Riverbank News","Riverbank News","209 Multimedia","http://theriverbanknews.com","High","exact_contact","","","","","",""
"Riverside City College - Viewpoints","Riverside City College - Viewpoints","","https://viewpointsonline.org/","High","exact_contact","","","","","",""
"Riverside Independent","Riverside Independent","Beacon Media, Inc. (BMI-VR)","http://www.riversideindependent.com","High","exact_contact","","","","","",""
"Rosamond News","Rosamond News","Joyce Media Inc. (JMI)","http://joycemediainc.com/papers/rosamondmall.html","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"Roseville & Granite Bay Press Tribune","Roseville & Granite Bay Press Tribune","Gold Mountain California News Media Inc. (GMCNMI)","http://www.thepresstribune.com/","High","exact_contact","","","","","",""
"Sacramento Business Journal","Sacramento Business Journal","American City Business Journals (ACBJ)","http://www.bizjournals.com/sacramento","High","exact_contact","","","","","",""
"Sacramento City College - Express","Sacramento City College - Express","","http://saccityexpress.com/","High","exact_contact","","","","","",""
"Sacramento Country Day School - The Octagon","Sacramento Country Day School - The Octagon","","https://www.scdsoctagon.com/","High","exact_contact","","","","","",""
"San Bernardino Bulletin","San Bernardino Bulletin","Metropolitan News Company","http://www.mnc.net/sbbulletin.htm","High","exact_contact","","","","","",""
"San Bernardino Press","San Bernardino Press","Beacon Media, Inc. (BMI-VR)","http://www.sanbernardinopress.com","High","exact_contact","","","","","",""
"San Clemente Times","San Clemente Times","TIMES MEDIA GROUP (TMG)","http://www.sanclementetimes.com","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"San Diego Mesa College - The Mesa Press","San Diego Mesa College - The Mesa Press","","http://www.mesapress.com/","High","exact_contact","","","","","",""
"San Diego State University - The Daily Aztec","San Diego State University - The Daily Aztec","","http://thedailyaztec.com/","High","exact_contact","","","","","",""
"San Fernando Sun Newspaper","San Fernando Sun Newspaper","San Fernando Valley Sun and El Sol Newspaper","https://sanfernandosun.com/","High","exact_contact","","","","","",""
"San Fernando Valley Sun","San Fernando Valley Sun","Latino Media Collaborative","http://www.sanfernandosun.com","High","exact_contact","","","","","",""
"San Francisco Business Times","San Francisco Business Times","American City Business Journals (ACBJ)","http://www.bizjournals.com/sanfrancisco","High","exact_contact","Large sheet record is an organization/group row with attached child publications","","","","",""
"San Francisco Chronicle","San Francisco Chronicle","Hearst Corporation","http://www.sfchronicle.com","High","exact_contact","","","","","",""
"San Francisco Classical Voice","San Francisco Classical Voice","","https://www.sfcv.org/","High","exact_contact","","","","","",""
"San Francisco Daily Journal","San Francisco Daily Journal","Daily Journal Corporation (DJC)","http://www.dailyjournal.com","High","exact_contact","","","","","",""
"San Francisco Public Press","San Francisco Public Press","","https://www.sfpublicpress.org/","High","exact_contact","","","","","",""
"San Gabriel Sun","San Gabriel Sun","Beacon Media, Inc. (BMI-VR)","","High","exact_contact","No homepage URL found in large sheet","","","","",""
"San Joaquin Delta College - The Collegian","San Joaquin Delta College - The Collegian","","http://deltacollegian.net/","High","exact_contact","","","","","",""
"San Jose Spotlight","San Jose Spotlight","","https://sanjosespotlight.com/","High","exact_contact","","","","","",""
"San Jose State University - Spartan Daily","San Jose State University - Spartan Daily","","http://www.sjsunews.com/spartan_daily/","High","exact_contact","","","","","",""
"San Leandro Times","San Leandro Times","East Bay Publishing","http://www.sanleandrotimes.com","High","exact_contact","","","","","",""
"San Marino Tribune","San Marino Tribune","La Canada Flintridge Outlook","http://www.sanmarinotribune.com","High","exact_contact","","","","","",""
"San Quentin News","San Quentin News","Pollen Initiative","https://sanquentinnews.com","High","exact_contact","","","","","",""
