"Prototype Publication Name","Ingestion Tier","Recommended System","Primary Source URL","Platform / Pattern Family","List-Page Monitoring Rule","Candidate Article Link Pattern","Article Detail Fetch Needed","Title Extraction","Author Extraction","Date Extraction","Summary Extraction","Dedup Key","Operational Notes"
"Voice of OC","Tier 2","Page monitor","https://voiceofoc.org/category/involvement/community-opinion/","WordPress category page","Monitor Community Opinion category page pagination for new post URLs","voiceofoc.org/category/involvement/community-opinion/... article links","Yes","Category page headline fallback, confirm on article page","Article byline","Article page date","Use category page excerpt when present; otherwise generate from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"Capital & Main","Tier 4","Skip for prototype","https://capitalandmain.com","Digital outlet not opinion-led","Skip for first prototype","","No","","","","","Canonical article URL","Not a clean opinion-source fit."
"The Vallejo Sun","Tier 3","Manual review","https://www.vallejosun.com","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"The Mercury News","Tier 3","Manual review","http://www.bayareanewsgroup.com/","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"East Bay Times","Tier 3","Manual review","http://www.bayareanewsgroup.com/","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"ChicoSol News","Tier 2","Page monitor","http://chicosol.org","Nonprofit newsroom with guest commentary","Monitor for commentary / point-of-view / guest-commentary stories","chicosol.org article URLs flagged as commentary or point of view","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Good candidate for keyword-based filtering on list pages if a dedicated archive is absent."
"The Berkeley Scanner","Tier 4","Skip for prototype","https://www.berkeleyscanner.com/","News-only outlet","Skip for first prototype","","No","","","","","Canonical article URL","No opinion section identified."
"A News Café","Tier 2","Page monitor","https://anewscafe.com/category/opinion/","WordPress category page","Monitor Opinion category page and newer pagination for newly published post URLs","anewscafe.com post links listed under Opinion","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"El Tecolote","Tier 3","Manual review","https://eltecolote.org/content/en/","General web page","Detect newly listed article URLs on the source page","Links under the opinion/category page that resolve to article pages","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Needs a human check to confirm whether a stable opinion landing page or feed exists before adding to automation."
"Black Voice News","Tier 2","Page monitor","https://blackvoicenews.com/category/opinion/","Category/archive page","Monitor category or op-ed archive for newly listed article URLs","Links under the confirmed opinion/category archive on the same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"San Fernando Sun Newspaper","Tier 2","Page monitor","https://sanfernandosun.com/category/opinion/","Category/archive page","Monitor category or op-ed archive for newly listed article URLs","Links under the confirmed opinion/category archive on the same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"American Community Media","Tier 2","Page monitor","https://americancommunitymedia.org/category/oped/","Category/archive page","Monitor category or op-ed archive for newly listed article URLs","Links under the confirmed opinion/category archive on the same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"Wind Newspaper","Tier 2","Page monitor","https://www.windnewspaper.com/category/opinions","Category/archive page","Monitor category or op-ed archive for newly listed article URLs","Links under the confirmed opinion/category archive on the same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"Valley Voice","Tier 2","Page monitor","http://www.ourvalleyvoice.com","General article stream with opinion-labeled posts","Monitor homepage/category streams for posts labeled OPINION or letters","ourvalleyvoice.com article URLs with OPINION labeling","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use content labeling rather than relying on a dedicated archive URL."
"Comstock's Magazine","Tier 2","Page monitor","https://www.comstocksmag.com/opinion","Magazine/business opinion archive","Monitor opinion archive for new article URLs","Links listed on opinion page within same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
"The Business Journal","Tier 2","Page monitor","https://thebusinessjournal.com/opinion/","Magazine/business opinion archive","Monitor opinion archive for new article URLs","Links listed on opinion page within same domain","Yes","From article page <title> / main headline","From byline on article page","From published/updated timestamp on article page","Use list excerpt when available; otherwise generate summary from article body","Canonical article URL","Use a page-change monitor, scraper, or custom checker to extract title, author, date, summary, and URL from newly listed opinion items."
